split_cap,actual_splits,training_R2,noise_splits
1,1,0.1948924219399656,0
2,2,0.35153674227206677,0
3,3,0.41588858917058924,0
4,4,0.4723010371426457,0
5,5,0.5191222609025539,0
6,6,0.562534378968376,0
7,7,0.58842775820723,0
8,8,0.6124274677591734,0
9,9,0.6305225702393431,0
10,10,0.6484197987418618,0
11,11,0.6654970239210047,0
12,12,0.6818585777789852,1
13,13,0.6950430313418485,2
14,14,0.7064779928417365,2
15,15,0.7185969302676734,2
16,16,0.7259489881735681,2
17,17,0.733176831322486,2
18,18,0.7394604230035629,2
19,19,0.7486811284240835,2
20,20,0.7548141437009713,2
21,21,0.7608446968902984,2
22,22,0.7668543454796073,3
23,23,0.7747772426095872,4
24,24,0.780731497865519,4
25,25,0.7865618669420125,4
26,26,0.7921218602556539,5
27,27,0.7981243232377675,5
28,28,0.8033453986634727,5
29,29,0.808456161675321,5
30,30,0.8151511661321873,5
31,31,0.8205142901470852,6
32,32,0.8254691149411089,6
33,33,0.830691593950516,7
34,34,0.8349490197218373,7
35,35,0.8386389605630695,7
36,36,0.8422562145002649,7
37,37,0.8453644563630576,7
38,38,0.8480905429212773,7
39,39,0.8504078289599692,7
40,40,0.8537263167367982,7
