variable,gain,contribution_fraction,contribution_percent,above_snf
A_Feed_S1,60562959922.0,0.6400027630477152,64.00027630477152,True
Total_Feed_S4,15760300212.0,0.16654793119643146,16.654793119643145,True
Stripper_Temp,6065802359.0,0.06410073541420708,6.410073541420708,True
Stripper_Steam_Flow,4031118059.0,0.0425990853031997,4.25990853031997,True
Compressor_Work,2914113406.0,0.030795070684728816,3.0795070684728816,True
Stripper_Pressure,1276374386.0,0.01348816396648063,1.348816396648063,True
Purge_Rate_S9,855980211.0,0.009045622949402157,0.9045622949402157,True
Reactor_Pressure,646868493.0,0.0068358221490776834,0.6835822149077684,True
Prod_Sep_Pressure,543470986.0,0.005743162704138517,0.5743162704138517,True
Reactor_Level,381109503.0,0.004027397856014279,0.40273978560142787,True
Product_Sep_Temp,323937404.0,0.0034232282220273877,0.3423228222027388,True
Reactor_Cooling_Water_Outlet_Temp,250058931.0,0.0026425129645392827,0.26425129645392825,True
E_Feed_S3,194718109.0,0.002057695461647291,0.20576954616472912,True
Separator_Cooling_Water_Outlet_Temp,154319281.0,0.001630778389278488,0.1630778389278488,True
Reactor_Feed_Rate_S6,152490416.0,0.0016114517471403108,0.1611451747140311,True
Product_Sep_Level,98608586.0,0.0010420522309594565,0.10420522309594565,True
D_Feed_S2,81092385.0,0.0008569487113736035,0.08569487113736035,True
Prod_Sep_Underflow_S10,67659919.0,0.0007150003098156799,0.07150003098156799,True
Stripper_Underflow_S11,63898235.0,0.0006752484853207573,0.06752484853207573,True
Stripper_Level,62156778.0,0.0006568455325396479,0.06568455325396479,True
Random Normal,61681684.0,0.000651824947794467,0.0651824947794467,False
Recycle_Flow_S8,57199764.0,0.0006044619855572658,0.06044619855572658,False
Reactor_Temperature,23297310.0,0.00024619574061080293,0.024619574061080292,False
