Factor,feature,Portion,Design,n_simulation,N
X1,X1,0.047292199807803456,Definitive Screening Design,1,17
X2,X2,0.6243293831903215,Definitive Screening Design,1,17
X3 (non-informative),X3,0.06488550094975429,Definitive Screening Design,1,17
Random Normal,Random Normal,0.26349291605212094,Definitive Screening Design,1,17
X1,X1,0.07472389846770774,Definitive Screening Design,2,17
X2,X2,0.585914398266631,Definitive Screening Design,2,17
X3 (non-informative),X3,0.1408853128589082,Definitive Screening Design,2,17
Random Normal,Random Normal,0.1984763904067529,Definitive Screening Design,2,17
X1,X1,0.044771686997806336,Definitive Screening Design,3,17
X2,X2,0.6671299871728515,Definitive Screening Design,3,17
X3 (non-informative),X3,0.08815690489091926,Definitive Screening Design,3,17
Random Normal,Random Normal,0.19994142093842288,Definitive Screening Design,3,17
X1,X1,0.05011626206129703,Definitive Screening Design,4,17
X2,X2,0.6168972262295855,Definitive Screening Design,4,17
X3 (non-informative),X3,0.12834529226901814,Definitive Screening Design,4,17
Random Normal,Random Normal,0.20464121944009922,Definitive Screening Design,4,17
X1,X1,0.07876325147945476,Definitive Screening Design,5,17
X2,X2,0.5691354679115694,Definitive Screening Design,5,17
X3 (non-informative),X3,0.12127434506703731,Definitive Screening Design,5,17
Random Normal,Random Normal,0.2308269355419385,Definitive Screening Design,5,17
X1,X1,0.06640779503550663,Definitive Screening Design,6,17
X2,X2,0.6714164950399438,Definitive Screening Design,6,17
X3 (non-informative),X3,0.09457959847935626,Definitive Screening Design,6,17
Random Normal,Random Normal,0.16759611144519315,Definitive Screening Design,6,17
X1,X1,0.09244166258640946,Definitive Screening Design,7,17
X2,X2,0.6822542193453219,Definitive Screening Design,7,17
X3 (non-informative),X3,0.12188291933173069,Definitive Screening Design,7,17
Random Normal,Random Normal,0.10342119873653788,Definitive Screening Design,7,17
X1,X1,0.04162461541134603,Definitive Screening Design,8,17
X2,X2,0.5986901422842167,Definitive Screening Design,8,17
X3 (non-informative),X3,0.08021876377859774,Definitive Screening Design,8,17
Random Normal,Random Normal,0.2794664785258395,Definitive Screening Design,8,17
X1,X1,0.053328283497612136,Definitive Screening Design,9,17
X2,X2,0.6578898925012723,Definitive Screening Design,9,17
X3 (non-informative),X3,0.06333891668543086,Definitive Screening Design,9,17
Random Normal,Random Normal,0.22544290731568467,Definitive Screening Design,9,17
X1,X1,0.067278485058959,Definitive Screening Design,10,17
X2,X2,0.627151111915728,Definitive Screening Design,10,17
X3 (non-informative),X3,0.10011360148565085,Definitive Screening Design,10,17
Random Normal,Random Normal,0.20545680153966192,Definitive Screening Design,10,17
X1,X1,0.08329432113249835,Definitive Screening Design,11,17
X2,X2,0.6602492514243196,Definitive Screening Design,11,17
X3 (non-informative),X3,0.16875982191086683,Definitive Screening Design,11,17
Random Normal,Random Normal,0.08769660553231517,Definitive Screening Design,11,17
X1,X1,0.09095012719882148,Definitive Screening Design,12,17
X2,X2,0.5616483925506215,Definitive Screening Design,12,17
X3 (non-informative),X3,0.13575298521589468,Definitive Screening Design,12,17
Random Normal,Random Normal,0.2116484950346623,Definitive Screening Design,12,17
X1,X1,0.08449805698252506,Definitive Screening Design,13,17
X2,X2,0.6756136558648619,Definitive Screening Design,13,17
X3 (non-informative),X3,0.1397066541763409,Definitive Screening Design,13,17
Random Normal,Random Normal,0.10018163297627213,Definitive Screening Design,13,17
X1,X1,0.06627505870687295,Definitive Screening Design,14,17
X2,X2,0.6673888187995696,Definitive Screening Design,14,17
X3 (non-informative),X3,0.12150981903259567,Definitive Screening Design,14,17
Random Normal,Random Normal,0.1448263034609617,Definitive Screening Design,14,17
X1,X1,0.04714677544635942,Definitive Screening Design,15,17
X2,X2,0.5872899827102012,Definitive Screening Design,15,17
X3 (non-informative),X3,0.17527563173247535,Definitive Screening Design,15,17
Random Normal,Random Normal,0.19028761011096396,Definitive Screening Design,15,17
X1,X1,0.07041832209689787,Definitive Screening Design,16,17
X2,X2,0.6113810640229336,Definitive Screening Design,16,17
X3 (non-informative),X3,0.14893097182448573,Definitive Screening Design,16,17
Random Normal,Random Normal,0.16926964205568296,Definitive Screening Design,16,17
X1,X1,0.06471984800149848,Definitive Screening Design,17,17
X2,X2,0.6382997688063764,Definitive Screening Design,17,17
X3 (non-informative),X3,0.15286409403815224,Definitive Screening Design,17,17
Random Normal,Random Normal,0.14411628915397295,Definitive Screening Design,17,17
X1,X1,0.033071955002725396,Definitive Screening Design,18,17
X2,X2,0.6763461422685471,Definitive Screening Design,18,17
